DateTime,Hour,911_10,911_15,911_20,911_40,911_60,911_120,911_121,911_AB,911_T,911_PCT_10,911_PCT_15,911_PCT_20,911_PCT_40,911_PCT_AB,ADM_10,ADM_15,ADM_20,ADM_40,ADM_60,ADM_120,ADM_121,ADM_AB,ADM_T,Total
11/12/2025 14:00,14,11,2,2,1,0,2,0,,18,0.611111111,0.722222222,0.833333333,0.888888889,0,,,,,,,,,0,18
11/12/2025 15:00,15,14,4,1,1,0,0,0,,20,0.7,0.9,0.95,1,0,,,,,,,,,0,20
11/12/2025 16:00,16,6,0,0,0,0,0,0,,6,1,1,1,1,0,,,,,,,,,0,6
11/12/2025 17:00,17,9,4,1,0,0,0,0,,14,0.642857143,0.928571429,1,1,0,,,,,,,,,0,14
11/12/2025 18:00,18,8,1,0,0,0,0,0,,9,0.888888889,1,1,1,0,,,,,,,,,0,9
11/12/2025 19:00,19,11,0,0,0,0,0,0,,11,1,1,1,1,0,,,,,,,,,0,11
11/12/2025 20:00,20,10,0,0,1,0,0,0,,11,0.909090909,0.909090909,0.909090909,1,0,,,,,,,,,0,11
11/12/2025 21:00,21,9,0,0,0,0,0,0,,9,1,1,1,1,0,,,,,,,,,0,9
11/12/2025 22:00,22,6,0,0,0,0,0,0,,6,1,1,1,1,0,,,,,,,,,0,6
11/12/2025 23:00,23,2,0,0,0,0,0,0,,2,1,1,1,1,0,,,,,,,,,0,2
11/13/2025 00:00,00,4,1,0,0,0,0,0,,5,0.8,1,1,1,0,,,,,,,,,0,5
11/13/2025 01:00,01,1,0,0,0,0,0,0,,1,1,1,1,1,0,,,,,,,,,0,1
11/13/2025 02:00,02,2,0,0,0,0,0,0,,2,1,1,1,1,0,,,,,,,,,0,2
11/13/2025 03:00,03,4,0,0,0,0,0,0,,4,1,1,1,1,0,,,,,,,,,0,4
11/13/2025 04:00,04,3,0,0,0,0,0,0,,3,1,1,1,1,0,,,,,,,,,0,3
11/13/2025 05:00,05,4,0,0,0,0,0,0,,4,1,1,1,1,0,,,,,,,,,0,4
11/13/2025 06:00,06,7,0,0,0,0,0,0,,7,1,1,1,1,0,,,,,,,,,0,7
11/13/2025 07:00,07,7,0,0,0,0,0,0,,7,1,1,1,1,0,,,,,,,,,0,7
11/13/2025 08:00,08,3,2,0,0,0,0,0,,5,0.6,1,1,1,0,,,,,,,,,0,5
11/13/2025 09:00,09,7,0,0,0,0,0,0,,7,1,1,1,1,0,,,,,,,,,0,7
11/13/2025 10:00,10,9,0,0,0,0,0,0,,9,1,1,1,1,0,,,,,,,,,0,9
11/13/2025 11:00,11,6,1,0,0,0,0,0,,7,0.857142857,1,1,1,0,,,,,,,,,0,7
11/13/2025 12:00,12,8,2,0,0,0,0,0,,10,0.8,1,1,1,0,,,,,,,,,0,10
11/13/2025 13:00,13,7,0,0,0,0,0,0,,7,1,1,1,1,0,,,,,,,,,0,7
11/13/2025 14:00,14,12,1,0,0,0,0,0,,13,0.923076923,1,1,1,0,,,,,,,,,0,13
11/13/2025 15:00,15,8,1,1,1,0,0,0,,11,0.727272727,0.818181818,0.909090909,1,0,,,,,,,,,0,11
11/13/2025 16:00,16,10,1,0,0,0,0,0,,11,0.909090909,1,1,1,0,,,,,,,,,0,11
11/13/2025 17:00,17,15,3,1,0,0,0,0,,19,0.789473684,0.947368421,1,1,0,,,,,,,,,0,19
11/13/2025 18:00,18,14,1,0,0,0,0,0,,15,0.933333333,1,1,1,0,,,,,,,,,0,15
11/13/2025 19:00,19,6,0,0,0,0,0,0,,6,1,1,1,1,0,,,,,,,,,0,6
11/13/2025 20:00,20,19,1,1,1,0,0,0,,22,0.863636364,0.909090909,0.954545455,1,0,,,,,,,,,0,22
11/13/2025 21:00,21,4,1,0,0,0,0,0,,5,0.8,1,1,1,0,,,,,,,,,0,5
11/13/2025 22:00,22,5,0,0,0,0,0,0,,5,1,1,1,1,0,,,,,,,,,0,5
11/13/2025 23:00,23,4,0,0,0,0,0,0,,4,1,1,1,1,0,,,,,,,,,0,4
11/14/2025 00:00,00,4,0,0,0,0,0,0,,4,1,1,1,1,0,,,,,,,,,0,4
11/14/2025 01:00,01,1,0,0,0,0,0,0,,1,1,1,1,1,0,,,,,,,,,0,1
11/14/2025 02:00,02,1,0,0,0,0,0,0,,1,1,1,1,1,0,,,,,,,,,0,1
11/14/2025 03:00,03,2,0,0,0,0,0,0,,2,1,1,1,1,0,,,,,,,,,0,2
11/14/2025 04:00,04,5,0,0,0,0,0,0,,5,1,1,1,1,0,,,,,,,,,0,5
11/14/2025 05:00,05,6,0,0,0,0,0,0,,6,1,1,1,1,0,,,,,,,,,0,6
11/14/2025 06:00,06,5,0,0,0,0,0,0,,5,1,1,1,1,0,,,,,,,,,0,5
11/14/2025 07:00,07,8,0,0,0,0,0,0,,8,1,1,1,1,0,,,,,,,,,0,8
11/14/2025 08:00,08,7,0,0,0,0,0,0,,7,1,1,1,1,0,,,,,,,,,0,7
11/14/2025 09:00,09,7,0,0,0,0,0,0,,7,1,1,1,1,0,,,,,,,,,0,7
11/14/2025 10:00,10,7,0,0,0,0,0,0,,7,1,1,1,1,0,,,,,,,,,0,7
11/14/2025 11:00,11,2,0,0,0,0,0,0,,2,1,1,1,1,0,,,,,,,,,0,2
11/14/2025 12:00,12,5,1,0,0,0,0,0,,6,0.833333333,1,1,1,0,,,,,,,,,0,6
11/14/2025 13:00,13,7,1,2,0,0,0,0,,10,0.7,0.8,1,1,0,,,,,,,,,0,10
11/14/2025 14:00,14,11,0,0,0,0,0,0,,11,1,1,1,1,0,,,,,,,,,0,11
11/14/2025 15:00,15,9,0,0,0,0,0,0,,9,1,1,1,1,0,,,,,,,,,0,9
11/14/2025 16:00,16,7,0,0,0,0,0,0,,7,1,1,1,1,0,,,,,,,,,0,7
11/14/2025 17:00,17,13,0,0,0,0,0,0,,13,1,1,1,1,0,,,,,,,,,0,13
11/14/2025 18:00,18,8,0,0,0,0,0,0,,8,1,1,1,1,0,,,,,,,,,0,8
11/14/2025 19:00,19,14,0,0,0,0,0,0,,14,1,1,1,1,0,,,,,,,,,0,14
11/14/2025 20:00,20,11,0,0,0,0,0,0,,11,1,1,1,1,0,,,,,,,,,0,11
11/14/2025 21:00,21,11,0,0,0,0,0,0,,11,1,1,1,1,0,,,,,,,,,0,11
11/14/2025 22:00,22,5,0,0,0,0,0,0,,5,1,1,1,1,0,,,,,,,,,0,5
11/14/2025 23:00,23,6,0,0,0,0,0,0,,6,1,1,1,1,0,,,,,,,,,0,6
11/15/2025 00:00,00,8,0,0,0,0,0,0,,8,1,1,1,1,0,,,,,,,,,0,8
11/15/2025 01:00,01,6,0,0,0,0,0,0,,6,1,1,1,1,0,,,,,,,,,0,6
11/15/2025 02:00,02,6,1,0,0,0,0,0,,7,0.857142857,1,1,1,0,,,,,,,,,0,7
11/15/2025 03:00,03,5,1,0,0,0,0,0,,6,0.833333333,1,1,1,0,,,,,,,,,0,6
11/15/2025 04:00,04,4,1,0,0,1,0,0,,6,0.666666667,0.833333333,0.833333333,0.833333333,0,,,,,,,,,0,6
11/15/2025 05:00,05,2,0,0,0,0,0,0,,2,1,1,1,1,0,,,,,,,,,0,2
11/15/2025 06:00,06,5,0,0,0,0,0,0,,5,1,1,1,1,0,,,,,,,,,0,5
11/15/2025 07:00,07,8,0,0,0,0,0,0,,8,1,1,1,1,0,,,,,,,,,0,8
11/15/2025 08:00,08,4,1,0,0,0,0,0,,5,0.8,1,1,1,0,,,,,,,,,0,5
11/15/2025 09:00,09,8,0,0,0,0,0,0,,8,1,1,1,1,0,,,,,,,,,0,8
11/15/2025 10:00,10,10,0,0,0,0,0,0,,10,1,1,1,1,0,,,,,,,,,0,10
11/15/2025 11:00,11,9,3,0,0,0,0,0,,12,0.75,1,1,1,0,,,,,,,,,0,12
11/15/2025 12:00,12,9,1,0,0,0,0,0,,10,0.9,1,1,1,0,,,,,,,,,0,10
11/15/2025 13:00,13,7,0,0,0,0,0,0,,7,1,1,1,1,0,,,,,,,,,0,7
11/15/2025 14:00,14,10,0,0,0,0,0,0,,10,1,1,1,1,0,,,,,,,,,0,10
11/15/2025 15:00,15,6,0,0,0,0,0,0,,6,1,1,1,1,0,,,,,,,,,0,6
11/15/2025 16:00,16,17,3,1,2,1,0,0,,24,0.708333333,0.833333333,0.875,0.958333333,0,,,,,,,,,0,24
11/15/2025 17:00,17,5,0,0,0,0,0,0,,5,1,1,1,1,0,,,,,,,,,0,5
11/15/2025 18:00,18,11,0,0,0,0,0,0,,11,1,1,1,1,0,,,,,,,,,0,11
11/15/2025 19:00,19,6,1,0,0,0,0,0,,7,0.857142857,1,1,1,0,,,,,,,,,0,7
11/15/2025 20:00,20,6,0,0,0,0,0,0,,6,1,1,1,1,0,,,,,,,,,0,6
11/15/2025 21:00,21,5,0,0,0,0,0,0,,5,1,1,1,1,0,,,,,,,,,0,5
11/15/2025 22:00,22,8,0,0,0,0,0,0,,8,1,1,1,1,0,,,,,,,,,0,8
11/15/2025 23:00,23,4,0,0,0,0,0,0,,4,1,1,1,1,0,,,,,,,,,0,4
